Date,Open,High,Low,Close,Adj Close,Volume
1996-09-03,61.619999,61.619999,61.619999,61.619999,41.136505,0
1996-09-04,61.730000,61.730000,61.730000,61.730000,41.209919,0
1996-09-05,61.160000,61.160000,61.160000,61.160000,40.829403,0
1996-09-06,61.750000,61.750000,61.750000,61.750000,41.223289,0
1996-09-09,62.509998,62.509998,62.509998,62.509998,41.730637,0
1996-09-10,62.520000,62.520000,62.520000,62.520000,41.737331,0
1996-09-11,62.849998,62.849998,62.849998,62.849998,41.957623,0
1996-09-12,63.240002,63.240002,63.240002,63.240002,42.217976,0
1996-09-13,64.129997,64.129997,64.129997,64.129997,42.812126,0
1996-09-16,64.470001,64.470001,64.470001,64.470001,43.039093,0
1996-09-17,64.370003,64.370003,64.370003,64.370003,42.972351,0
1996-09-18,64.239998,64.239998,64.239998,64.239998,42.885574,0
1996-09-19,64.379997,64.379997,64.379997,64.379997,42.979019,0
1996-09-20,64.760002,64.760002,64.760002,64.760002,43.232708,0
1996-09-23,64.709999,64.709999,64.709999,64.709999,43.199326,0
1996-09-24,64.620003,64.620003,64.620003,64.620003,43.139236,0
1996-09-25,64.430000,64.430000,64.430000,64.430000,43.159332,0
1996-09-26,64.459999,64.459999,64.459999,64.459999,43.179436,0
1996-09-27,64.489998,64.489998,64.489998,64.489998,43.199528,0
1996-09-30,64.589996,64.589996,64.589996,64.589996,43.266518,0
1996-10-01,64.760002,64.760002,64.760002,64.760002,43.380394,0
1996-10-02,65.230003,65.230003,65.230003,65.230003,43.695240,0
1996-10-03,65.129997,65.129997,65.129997,65.129997,43.628239,0
1996-10-04,65.940002,65.940002,65.940002,65.940002,44.170830,0
1996-10-07,66.120003,66.120003,66.120003,66.120003,44.291409,0
1996-10-08,65.879997,65.879997,65.879997,65.879997,44.130642,0
1996-10-09,65.519997,65.519997,65.519997,65.519997,43.889496,0
1996-10-10,65.330002,65.330002,65.330002,65.330002,43.762211,0
1996-10-11,65.889999,65.889999,65.889999,65.889999,44.137344,0
1996-10-14,66.169998,66.169998,66.169998,66.169998,44.324905,0
1996-10-15,66.080002,66.080002,66.080002,66.080002,44.264614,0
1996-10-16,66.260002,66.260002,66.260002,66.260002,44.385189,0
1996-10-17,66.510002,66.510002,66.510002,66.510002,44.552658,0
1996-10-18,66.870003,66.870003,66.870003,66.870003,44.793808,0
1996-10-21,66.779999,66.779999,66.779999,66.779999,44.733528,0
1996-10-22,66.470001,66.470001,66.470001,66.470001,44.525848,0
1996-10-23,66.540001,66.540001,66.540001,66.540001,44.572750,0
1996-10-24,66.059998,66.059998,66.059998,66.059998,44.251205,0
1996-10-25,65.940002,65.940002,65.940002,65.940002,44.170830,0
1996-10-28,65.589996,65.589996,65.589996,65.589996,43.936375,0
1996-10-29,66.000000,66.000000,66.000000,66.000000,44.211025,0
1996-10-30,65.949997,65.949997,65.949997,65.949997,44.177525,0
1996-10-31,66.370003,66.370003,66.370003,66.370003,44.458874,0
1996-11-01,66.230003,66.230003,66.230003,66.230003,44.365101,0
1996-11-04,66.519997,66.519997,66.519997,66.519997,44.559353,0
1996-11-05,67.220001,67.220001,67.220001,67.220001,45.028263,0
1996-11-06,68.209999,68.209999,68.209999,68.209999,45.691429,0
1996-11-07,68.519997,68.519997,68.519997,68.519997,45.899075,0
1996-11-08,68.820000,68.820000,68.820000,68.820000,46.100014,0
1996-11-11,68.919998,68.919998,68.919998,68.919998,46.167030,0
1996-11-12,68.709999,68.709999,68.709999,68.709999,46.026363,0
1996-11-13,68.879997,68.879997,68.879997,68.879997,46.140232,0
1996-11-14,69.330002,69.330002,69.330002,69.330002,46.441685,0
1996-11-15,69.510002,69.510002,69.510002,69.510002,46.562237,0
1996-11-18,69.449997,69.449997,69.449997,69.449997,46.522049,0
1996-11-19,69.930000,69.930000,69.930000,69.930000,46.843586,0
1996-11-20,70.120003,70.120003,70.120003,70.120003,46.970879,0
1996-11-21,70.010002,70.010002,70.010002,70.010002,46.897156,0
1996-11-22,70.570000,70.570000,70.570000,70.570000,47.272316,0
1996-11-25,71.360001,71.360001,71.360001,71.360001,47.801491,0
1996-11-26,71.269997,71.269997,71.269997,71.269997,47.741215,0
1996-11-27,71.190002,71.190002,71.190002,71.190002,47.687622,0
1996-11-29,71.389999,71.389999,71.389999,71.389999,47.821598,0
1996-12-02,71.339996,71.339996,71.339996,71.339996,47.788097,0
1996-12-03,70.559998,70.559998,70.559998,70.559998,47.265598,0
1996-12-04,70.290001,70.290001,70.290001,70.290001,47.084728,0
1996-12-05,70.220001,70.220001,70.220001,70.220001,47.037846,0
1996-12-06,69.779999,69.779999,69.779999,69.779999,46.743107,0
1996-12-09,70.739998,70.739998,70.739998,70.739998,47.386173,0
1996-12-10,70.529999,70.529999,70.529999,70.529999,47.245502,0
1996-12-11,69.900002,69.900002,69.900002,69.900002,46.823479,0
1996-12-12,68.849998,68.849998,68.849998,68.849998,46.120152,0
1996-12-13,68.779999,68.779999,68.779999,68.779999,46.073250,0
1996-12-16,68.050003,68.050003,68.050003,68.050003,45.584251,0
1996-12-17,68.529999,68.529999,68.529999,68.529999,45.905773,0
1996-12-18,69.050003,69.050003,69.050003,69.050003,46.254124,0
1996-12-19,70.410004,70.410004,70.410004,70.410004,47.165123,0
1996-12-20,69.860001,69.860001,69.860001,69.860001,47.354916,0
1996-12-23,69.690002,69.690002,69.690002,69.690002,47.239677,0
1996-12-24,70.070000,70.070000,70.070000,70.070000,47.497269,0
1996-12-26,70.510002,70.510002,70.510002,70.510002,47.795532,0
1996-12-27,70.639999,70.639999,70.639999,70.639999,47.883636,0
1996-12-30,70.370003,70.370003,70.370003,70.370003,47.700630,0
1996-12-31,69.160004,69.160004,69.160004,69.160004,46.880432,0
1997-01-02,68.830002,68.830002,68.830002,68.830002,46.656723,0
