Date,Open,High,Low,Close,Price,Change %
1991-06-01,1.4845,1.5695,1.4805,1.5526,1.5526,4.52%
1991-07-01,1.5527,1.594,1.5045,1.5232,1.5232,-1.89%
1991-08-01,1.5225,1.588,1.488,1.5283,1.5283,0.33%
1991-09-01,1.5263,1.5333,1.444,1.453,1.453,-4.93%
1991-10-01,1.4527,1.509,1.449,1.468,1.468,1.03%
1991-11-01,1.4673,1.4702,1.399,1.435,1.435,-2.25%
1991-12-01,1.4275,1.4309,1.336,1.3599,1.3599,-5.23%
1992-01-01,1.3625,1.4552,1.3352,1.4335,1.4335,5.41%
1992-02-01,1.43,1.512,1.3882,1.486,1.486,3.66%
1992-03-01,1.4855,1.535,1.4798,1.4995,1.4995,0.91%
1992-04-01,1.51,1.5505,1.483,1.51,1.51,0.70%
1992-05-01,1.516,1.532,1.4503,1.456,1.456,-3.58%
1992-06-01,1.455,1.476,1.3645,1.3725,1.3725,-5.73%
1992-07-01,1.373,1.377,1.2725,1.315,1.315,-4.19%
1992-08-01,1.3165,1.3362,1.2375,1.2505,1.2505,-4.90%
1992-09-01,1.2485,1.338,1.217,1.235,1.235,-1.24%
1992-10-01,1.2345,1.381,1.2095,1.3767,1.3767,11.47%
1992-11-01,1.3765,1.4603,1.3725,1.433,1.433,4.09%
1992-12-01,1.4325,1.4735,1.383,1.4675,1.4675,2.41%
1993-01-01,1.466,1.509,1.4395,1.4875,1.4875,1.36%
1993-02-01,1.4875,1.55,1.481,1.527,1.527,2.66%
1993-03-01,1.532,1.553,1.488,1.4895,1.4895,-2.46%
1993-04-01,1.491,1.5005,1.412,1.4305,1.4305,-3.96%
1993-05-01,1.432,1.4825,1.4055,1.4205,1.4205,-0.70%
1993-06-01,1.42,1.522,1.414,1.514,1.514,6.58%
1993-07-01,1.511,1.5411,1.4935,1.523,1.523,0.59%
1993-08-01,1.5225,1.5381,1.462,1.4785,1.4785,-2.92%
1993-09-01,1.4785,1.481,1.3805,1.426,1.426,-3.55%
1993-10-01,1.425,1.496,1.3945,1.4925,1.4925,4.66%
1993-11-01,1.491,1.5136,1.481,1.499,1.499,0.44%
1993-12-01,1.498,1.508,1.4313,1.4885,1.4885,-0.70%
1994-01-01,1.487,1.4955,1.4495,1.457,1.457,-2.12%
1994-02-01,1.4555,1.488,1.4215,1.4255,1.4255,-2.16%
1994-03-01,1.426,1.448,1.4026,1.4135,1.4135,-0.84%
1994-04-01,1.4115,1.462,1.394,1.4027,1.4027,-0.76%
1994-05-01,1.403,1.4375,1.3934,1.4025,1.4025,-0.01%
1994-06-01,1.4015,1.4235,1.315,1.3335,1.3335,-4.92%
1994-07-01,1.3325,1.3595,1.28,1.34,1.34,0.49%
1994-08-01,1.332,1.3486,1.285,1.3323,1.3323,-0.57%
1994-09-01,1.3315,1.3335,1.2684,1.2891,1.2891,-3.24%
1994-10-01,1.2895,1.2995,1.2351,1.257,1.257,-2.49%
1994-11-01,1.255,1.3344,1.2415,1.3262,1.3262,5.51%
1994-12-01,1.3255,1.3426,1.3015,1.3099,1.3099,-1.23%
1995-01-01,1.3088,1.3197,1.2625,1.286,1.286,-1.82%
1995-02-01,1.2845,1.3043,1.2318,1.2372,1.2372,-3.79%
1995-03-01,1.2364,1.2457,1.1173,1.129,1.129,-8.75%
1995-04-01,1.1255,1.1675,1.11,1.1457,1.1457,1.48%
1995-05-01,1.1455,1.2226,1.1225,1.168,1.168,1.95%
1995-06-01,1.1682,1.1894,1.1405,1.1485,1.1485,-1.67%
1995-07-01,1.1487,1.1805,1.1419,1.1532,1.1532,0.41%
1995-08-01,1.1521,1.2442,1.134,1.2039,1.2039,4.40%
1995-09-01,1.2035,1.2278,1.1319,1.1555,1.1555,-4.02%
1995-10-01,1.156,1.164,1.1205,1.1365,1.1365,-1.64%
1995-11-01,1.1357,1.179,1.1293,1.1768,1.1768,3.55%
1995-12-01,1.1751,1.1808,1.144,1.1548,1.1548,-1.87%
